level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_1,PPO,ppo_weights.pth,0,0,0,-1000.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,1,-1000.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,2,-1000.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,3,-1000.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,4,-977.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,5,-993.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,6,-986.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,7,-972.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,8,-981.0,1000,0,0
Level_1,PPO,ppo_weights.pth,0,0,9,-1000.0,1000,0,0
Level_1,VPG,vpg_weights.pth,0,0,0,-186996.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,1,-192598.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,2,-196200.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,3,-192800.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,4,-193200.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,5,-193997.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,6,-193600.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,7,-190600.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,8,-187000.0,1000,1,0
Level_1,VPG,vpg_weights.pth,0,0,9,-189000.0,1000,1,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,0,-1000.0,1000,0,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,1,-2000.0,1000,1,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,2,-1000.0,1000,0,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,3,-26372.0,1000,6,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,4,-3372.0,1000,3,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,5,-973.0,1000,0,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,6,-986.0,1000,0,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,7,-972.0,1000,0,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,8,-972.0,1000,0,0
Level_1,D3QN_RewSh1_RAND,weights_d3qn_RewSh1.pth,0,0,9,-972.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,0,-1000.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,1,-1000.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,2,-1000.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,3,-1000.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,4,-189668.0,1000,1,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,5,-973.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,6,-192792.0,1000,1,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,7,-972.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,8,-972.0,1000,0,0
Level_1,D3QN_RewSh1_NoRAND,weights_d3qn_RewSh1.pth,0,0,9,-1000.0,1000,0,0
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,0,-1000.0,1000,0,0
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,1,-2000.0,1000,1,0
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,2,-1000.0,1000,0,0
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,3,-9639.0,568,4,0
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,4,2062.0,66,0,1
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,5,2062.0,62,0,1
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,6,-986.0,1000,0,0
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,7,1928.0,204,0,1
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,8,2057.0,74,0,1
Level_1,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,0,0,9,-967.0,1000,0,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,0,-186196.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,1,-385.0,114,2,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,2,-196200.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,3,-192800.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,4,-193200.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,5,-187280.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,6,-974.0,1000,0,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,7,-190600.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,8,-187000.0,1000,1,0
Level_1,D3QN_RewSh2_NoRAND,weights_d3qn_RewSh2.pth,0,0,9,-189000.0,1000,1,0
